date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:57	49521/49521	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:32%20GMT	https://bizweb.dktcdn.net/100/321/299/products/95338611343664ae837653dca4be0b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/95338611343664ae837653dca4be0be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:08:57	175720/175720	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:13%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/9536359890974a14095feba8d40d1b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/9536359890974a14095feba8d40d1be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:00	67026/67026	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2007:29:50%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9536359890974a14095feba8d40d1b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9536359890974a14095feba8d40d1be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:02	22999/22999	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:42%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/95338611343664ae837653dca4be0b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/95338611343664ae837653dca4be0be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:03	118119/118119	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:28%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/95338611343664ae837653dca4be0b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/95338611343664ae837653dca4be0be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:03	35537/35537	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:41%20GMT	https://bizweb.dktcdn.net/100/321/299/products/95959816274226131df64d6e0456ca.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/95959816274226131df64d6e0456cae07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:06	37636/37636	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:46%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9536359890974a14095feba8d40d1b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9536359890974a14095feba8d40d1be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:10	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.111.delayed	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:12	15940/15940	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:53%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/95959816274226131df64d6e0456ca.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/95959816274226131df64d6e0456cae07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:13	169782/169782	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:43%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9536359890974a14095feba8d40d1b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9536359890974a14095feba8d40d1be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:14	37514/37514	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2007:29:56%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/95959816274226131df64d6e0456ca.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/95959816274226131df64d6e0456cae07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:09:23	72698/72698	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:55%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/imageresizer.jpg?v=1531752167900	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/imageresizerdb84.jpg	(from https://ant-construction.mysapo.net/may-khoan-bua-d25032-dewalt)
